Datetime_Hour,Trip_Count
2014-04-01 00:00:00,138
2014-04-01 01:00:00,66
2014-04-01 02:00:00,53
2014-04-01 03:00:00,93
2014-04-01 04:00:00,166
2014-04-01 05:00:00,333
2014-04-01 06:00:00,722
2014-04-01 07:00:00,1001
2014-04-01 08:00:00,780
2014-04-01 09:00:00,532
2014-04-01 10:00:00,477
2014-04-01 11:00:00,547
2014-04-01 12:00:00,469
2014-04-01 13:00:00,591
2014-04-01 14:00:00,736
2014-04-01 15:00:00,967
2014-04-01 16:00:00,1152
2014-04-01 17:00:00,1262
2014-04-01 18:00:00,1122
2014-04-01 19:00:00,1018
2014-04-01 20:00:00,597
2014-04-01 21:00:00,878
2014-04-01 22:00:00,529
2014-04-01 23:00:00,317
2014-04-02 00:00:00,161
2014-04-02 01:00:00,82
2014-04-02 02:00:00,59
2014-04-02 03:00:00,80
2014-04-02 04:00:00,196
2014-04-02 05:00:00,344
2014-04-02 06:00:00,785
2014-04-02 07:00:00,1099
2014-04-02 08:00:00,927
2014-04-02 09:00:00,656
2014-04-02 10:00:00,658
2014-04-02 11:00:00,706
2014-04-02 12:00:00,632
2014-04-02 13:00:00,709
2014-04-02 14:00:00,868
2014-04-02 15:00:00,1138
2014-04-02 16:00:00,1313
2014-04-02 17:00:00,1600
2014-04-02 18:00:00,1252
2014-04-02 19:00:00,1086
2014-04-02 20:00:00,1143
2014-04-02 21:00:00,994
2014-04-02 22:00:00,638
2014-04-02 23:00:00,348
2014-04-03 00:00:00,194
2014-04-03 01:00:00,106
2014-04-03 02:00:00,66
2014-04-03 03:00:00,130
2014-04-03 04:00:00,193
2014-04-03 05:00:00,354
2014-04-03 06:00:00,750
2014-04-03 07:00:00,1022
2014-04-03 08:00:00,864
2014-04-03 09:00:00,591
2014-04-03 10:00:00,558
2014-04-03 11:00:00,549
2014-04-03 12:00:00,619
2014-04-03 13:00:00,766
2014-04-03 14:00:00,934
2014-04-03 15:00:00,1247
2014-04-03 16:00:00,1438
2014-04-03 17:00:00,1640
2014-04-03 18:00:00,1628
2014-04-03 19:00:00,1374
2014-04-03 20:00:00,1591
2014-04-03 21:00:00,1714
2014-04-03 22:00:00,1580
2014-04-03 23:00:00,793
2014-04-04 00:00:00,329
2014-04-04 01:00:00,184
2014-04-04 02:00:00,117
2014-04-04 03:00:00,154
2014-04-04 04:00:00,238
2014-04-04 05:00:00,381
2014-04-04 06:00:00,839
2014-04-04 07:00:00,1202
2014-04-04 08:00:00,1065
2014-04-04 09:00:00,769
2014-04-04 10:00:00,759
2014-04-04 11:00:00,819
2014-04-04 12:00:00,827
2014-04-04 13:00:00,994
2014-04-04 14:00:00,1190
2014-04-04 15:00:00,1504
2014-04-04 16:00:00,1865
2014-04-04 17:00:00,2280
2014-04-04 18:00:00,2449
2014-04-04 19:00:00,2133
2014-04-04 20:00:00,1489
2014-04-04 21:00:00,1929
2014-04-04 22:00:00,1859
2014-04-04 23:00:00,1339
2014-04-05 00:00:00,723
2014-04-05 01:00:00,416
2014-04-05 02:00:00,215
2014-04-05 03:00:00,181
2014-04-05 04:00:00,153
2014-04-05 05:00:00,177
2014-04-05 06:00:00,206
2014-04-05 07:00:00,279
2014-04-05 08:00:00,340
2014-04-05 09:00:00,450
2014-04-05 10:00:00,530
2014-04-05 11:00:00,542
2014-04-05 12:00:00,657
2014-04-05 13:00:00,647
2014-04-05 14:00:00,704
2014-04-05 15:00:00,1078
2014-04-05 16:00:00,1313
2014-04-05 17:00:00,1445
2014-04-05 18:00:00,1575
2014-04-05 19:00:00,1440
2014-04-05 20:00:00,1348
2014-04-05 21:00:00,1572
2014-04-05 22:00:00,1830
2014-04-05 23:00:00,1700
2014-04-06 00:00:00,1485
2014-04-06 01:00:00,940
2014-04-06 02:00:00,501
2014-04-06 03:00:00,315
2014-04-06 04:00:00,201
2014-04-06 05:00:00,177
2014-04-06 06:00:00,174
2014-04-06 07:00:00,226
2014-04-06 08:00:00,313
2014-04-06 09:00:00,441
2014-04-06 10:00:00,547
2014-04-06 11:00:00,563
2014-04-06 12:00:00,594
2014-04-06 13:00:00,677
2014-04-06 14:00:00,698
2014-04-06 15:00:00,847
2014-04-06 16:00:00,806
2014-04-06 17:00:00,799
2014-04-06 18:00:00,767
2014-04-06 19:00:00,641
2014-04-06 20:00:00,516
2014-04-06 21:00:00,571
2014-04-06 22:00:00,390
2014-04-06 23:00:00,256
2014-04-07 00:00:00,102
2014-04-07 01:00:00,63
2014-04-07 02:00:00,57
2014-04-07 03:00:00,154
2014-04-07 04:00:00,271
2014-04-07 05:00:00,388
2014-04-07 06:00:00,842
2014-04-07 07:00:00,1057
2014-04-07 08:00:00,836
2014-04-07 09:00:00,585
2014-04-07 10:00:00,509
2014-04-07 11:00:00,485
2014-04-07 12:00:00,463
2014-04-07 13:00:00,578
2014-04-07 14:00:00,861
2014-04-07 15:00:00,1061
2014-04-07 16:00:00,1756
2014-04-07 17:00:00,2191
2014-04-07 18:00:00,2137
2014-04-07 19:00:00,2035
2014-04-07 20:00:00,1176
2014-04-07 21:00:00,1059
2014-04-07 22:00:00,646
2014-04-07 23:00:00,238
2014-04-08 00:00:00,187
2014-04-08 01:00:00,72
2014-04-08 02:00:00,63
2014-04-08 03:00:00,119
2014-04-08 04:00:00,184
2014-04-08 05:00:00,427
2014-04-08 06:00:00,889
2014-04-08 07:00:00,1159
2014-04-08 08:00:00,1069
2014-04-08 09:00:00,611
2014-04-08 10:00:00,507
2014-04-08 11:00:00,548
2014-04-08 12:00:00,518
2014-04-08 13:00:00,584
2014-04-08 14:00:00,716
2014-04-08 15:00:00,996
2014-04-08 16:00:00,1206
2014-04-08 17:00:00,1386
2014-04-08 18:00:00,1062
2014-04-08 19:00:00,929
2014-04-08 20:00:00,1127
2014-04-08 21:00:00,944
2014-04-08 22:00:00,587
2014-04-08 23:00:00,298
2014-04-09 00:00:00,154
2014-04-09 01:00:00,106
2014-04-09 02:00:00,76
2014-04-09 03:00:00,139
2014-04-09 04:00:00,194
2014-04-09 05:00:00,353
2014-04-09 06:00:00,821
2014-04-09 07:00:00,1050
2014-04-09 08:00:00,858
2014-04-09 09:00:00,565
2014-04-09 10:00:00,533
2014-04-09 11:00:00,552
2014-04-09 12:00:00,590
2014-04-09 13:00:00,683
2014-04-09 14:00:00,849
2014-04-09 15:00:00,1120
2014-04-09 16:00:00,1276
